student_id,target_career,activity_name,category,status
1,Backend Dev,System Design,Backend Dev,On Track
1,Backend Dev,PostgreSQL,Backend Dev,On Track
1,Backend Dev,PostgreSQL,Backend Dev,On Track
1,Backend Dev,JavaScript,Frontend Dev,On Track
1,Backend Dev,Microservices,Backend Dev,On Track
1,Backend Dev,Kafka,Backend Dev,On Track
1,Backend Dev,System Design,Backend Dev,On Track
1,Backend Dev,Microservices,Backend Dev,On Track
1,Backend Dev,Figma,Frontend Dev,On Track
2,Frontend Dev,HTML,Frontend Dev,Drifting
2,Frontend Dev,Redux,Frontend Dev,Drifting
2,Frontend Dev,Kafka,Backend Dev,Drifting
2,Frontend Dev,Kafka,Backend Dev,Drifting
2,Frontend Dev,Microservices,Backend Dev,Drifting
2,Frontend Dev,Python,Data Scientist,Drifting
2,Frontend Dev,PostgreSQL,Backend Dev,Drifting
3,Frontend Dev,SQL,Data Scientist,Drifting
3,Frontend Dev,PowerBI,Data Scientist,Drifting
3,Frontend Dev,Python,Data Scientist,Drifting
3,Frontend Dev,Statistics,Data Scientist,Drifting
3,Frontend Dev,Statistics,Data Scientist,Drifting
3,Frontend Dev,FastAPI,Backend Dev,Drifting
4,Backend Dev,Python,Data Scientist,On Track
4,Backend Dev,Kafka,Backend Dev,On Track
4,Backend Dev,Go,Backend Dev,On Track
4,Backend Dev,Go,Backend Dev,On Track
4,Backend Dev,Docker,Backend Dev,On Track
4,Backend Dev,Docker,Backend Dev,On Track
4,Backend Dev,PostgreSQL,Backend Dev,On Track
5,Frontend Dev,Go,Backend Dev,Drifting
5,Frontend Dev,System Design,Backend Dev,Drifting
5,Frontend Dev,System Design,Backend Dev,Drifting
5,Frontend Dev,Python,Data Scientist,Drifting
5,Frontend Dev,Microservices,Backend Dev,Drifting
6,Frontend Dev,Scikit-Learn,Data Scientist,Drifting
6,Frontend Dev,Python,Data Scientist,Drifting
6,Frontend Dev,PowerBI,Data Scientist,Drifting
6,Frontend Dev,SQL,Data Scientist,Drifting
6,Frontend Dev,Pandas,Data Scientist,Drifting
7,Frontend Dev,Statistics,Data Scientist,Drifting
7,Frontend Dev,Python,Data Scientist,Drifting
7,Frontend Dev,Redux,Frontend Dev,Drifting
7,Frontend Dev,FastAPI,Backend Dev,Drifting
7,Frontend Dev,Tableau,Data Scientist,Drifting
8,Frontend Dev,Tableau,Data Scientist,On Track
8,Frontend Dev,HTML,Frontend Dev,On Track
8,Frontend Dev,CSS,Frontend Dev,On Track
8,Frontend Dev,Docker,Backend Dev,On Track
8,Frontend Dev,JavaScript,Frontend Dev,On Track
9,Frontend Dev,PostgreSQL,Backend Dev,On Track
9,Frontend Dev,React,Frontend Dev,On Track
9,Frontend Dev,HTML,Frontend Dev,On Track
9,Frontend Dev,React,Frontend Dev,On Track
9,Frontend Dev,Next.js,Frontend Dev,On Track
9,Frontend Dev,Docker,Backend Dev,On Track
9,Frontend Dev,Figma,Frontend Dev,On Track
9,Frontend Dev,TypeScript,Frontend Dev,On Track
10,Data Scientist,SQL,Data Scientist,On Track
10,Data Scientist,JavaScript,Frontend Dev,On Track
10,Data Scientist,Pandas,Data Scientist,On Track
10,Data Scientist,Python,Data Scientist,On Track
10,Data Scientist,SQL,Data Scientist,On Track
10,Data Scientist,PowerBI,Data Scientist,On Track
10,Data Scientist,CSS,Frontend Dev,On Track
10,Data Scientist,Keras,Data Scientist,On Track
10,Data Scientist,PowerBI,Data Scientist,On Track
11,Frontend Dev,System Design,Backend Dev,On Track
11,Frontend Dev,System Design,Backend Dev,On Track
11,Frontend Dev,System Design,Backend Dev,On Track
11,Frontend Dev,React,Frontend Dev,On Track
11,Frontend Dev,TensorFlow,Data Scientist,On Track
11,Frontend Dev,Next.js,Frontend Dev,On Track
11,Frontend Dev,Docker,Backend Dev,On Track
11,Frontend Dev,Tailwind,Frontend Dev,On Track
11,Frontend Dev,Redis,Backend Dev,On Track
12,Data Scientist,Microservices,Backend Dev,Drifting
12,Data Scientist,FastAPI,Backend Dev,Drifting
12,Data Scientist,PostgreSQL,Backend Dev,Drifting
12,Data Scientist,System Design,Backend Dev,Drifting
12,Data Scientist,Docker,Backend Dev,Drifting
12,Data Scientist,Go,Backend Dev,Drifting
13,Data Scientist,JavaScript,Frontend Dev,Drifting
13,Data Scientist,Redis,Backend Dev,Drifting
13,Data Scientist,FastAPI,Backend Dev,Drifting
13,Data Scientist,TypeScript,Frontend Dev,Drifting
13,Data Scientist,Figma,Frontend Dev,Drifting
13,Data Scientist,Go,Backend Dev,Drifting
13,Data Scientist,Redis,Backend Dev,Drifting
13,Data Scientist,System Design,Backend Dev,Drifting
14,Data Scientist,Pandas,Data Scientist,On Track
14,Data Scientist,Statistics,Data Scientist,On Track
14,Data Scientist,Tailwind,Frontend Dev,On Track
14,Data Scientist,Tableau,Data Scientist,On Track
14,Data Scientist,Pandas,Data Scientist,On Track
15,Frontend Dev,PostgreSQL,Backend Dev,Drifting
15,Frontend Dev,Keras,Data Scientist,Drifting
15,Frontend Dev,Tableau,Data Scientist,Drifting
15,Frontend Dev,System Design,Backend Dev,Drifting
15,Frontend Dev,Keras,Data Scientist,Drifting
15,Frontend Dev,Python,Data Scientist,Drifting
15,Frontend Dev,Scikit-Learn,Data Scientist,Drifting
15,Frontend Dev,Scikit-Learn,Data Scientist,Drifting
15,Frontend Dev,Flask,Backend Dev,Drifting
16,Frontend Dev,SQL,Data Scientist,Drifting
16,Frontend Dev,Microservices,Backend Dev,Drifting
16,Frontend Dev,Docker,Backend Dev,Drifting
16,Frontend Dev,Go,Backend Dev,Drifting
16,Frontend Dev,Go,Backend Dev,Drifting
16,Frontend Dev,FastAPI,Backend Dev,Drifting
16,Frontend Dev,Microservices,Backend Dev,Drifting
17,Backend Dev,Docker,Backend Dev,On Track
17,Backend Dev,Figma,Frontend Dev,On Track
17,Backend Dev,System Design,Backend Dev,On Track
17,Backend Dev,Go,Backend Dev,On Track
17,Backend Dev,Tailwind,Frontend Dev,On Track
17,Backend Dev,Flask,Backend Dev,On Track
17,Backend Dev,Go,Backend Dev,On Track
17,Backend Dev,Redis,Backend Dev,On Track
18,Frontend Dev,Redis,Backend Dev,On Track
18,Frontend Dev,TypeScript,Frontend Dev,On Track
18,Frontend Dev,PowerBI,Data Scientist,On Track
18,Frontend Dev,TypeScript,Frontend Dev,On Track
18,Frontend Dev,Figma,Frontend Dev,On Track
18,Frontend Dev,Figma,Frontend Dev,On Track
19,Frontend Dev,Next.js,Frontend Dev,On Track
19,Frontend Dev,PostgreSQL,Backend Dev,On Track
19,Frontend Dev,Kafka,Backend Dev,On Track
19,Frontend Dev,PostgreSQL,Backend Dev,On Track
19,Frontend Dev,JavaScript,Frontend Dev,On Track
19,Frontend Dev,Next.js,Frontend Dev,On Track
19,Frontend Dev,JavaScript,Frontend Dev,On Track
20,Backend Dev,Tableau,Data Scientist,Drifting
